name,target,version,median,min,max,accuracy
C++ (avx2),cpp-avx2,15.2.0,350.87,350.78,351.02,9.4973
Zig,zig,0.15.2,351.71,351.28,353.59,9.4985
Fortran 90,fortran,14.2.0,351.59,351.55,351.74,9.3895
D (LDC),d-ldc,1.41.0,351.86,351.71,351.99,9.4985
C++ (clang++),cpp-clang,21.1.2,353.77,353.71,354.01,9.4985
C# (SIMD),cs-simd,10.0.103,356.84,355.96,357.57,9.4946
Swift,swift,6.2.4,357.4,357.15,377.32,9.8565
Rust (nightly),rust-nightly,1.96.0,360.72,360.7,361.37,9.4952
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,363.36,363.17,363.7,9.4973
C (gcc),c,15.2.0,400.27,399.5,401.25,9.4943
C++ (g++),cpp,15.2.0,399.75,399.59,400.41,9.4943
D (GDC),d,15.2.0,403.26,402.84,403.7,9.4943
Nim,nim,2.2.0,423.14,422.31,423.44,9.5
C (clang),c-clang,21.1.2,576.91,576.68,577.18,9.4985
Julia,julia,1.12.5,670.2,667.67,670.4,9.4958
Swift (SIMD),swift-simd,6.2.4,836.53,835.41,840.5,8.6928
Rust,rust,1.92.0,934.74,934.7,936.43,9.4979
Objective-C,objc,21.1.2,1154.46,1154.46,1154.48,9.4964
Pascal (FPC),pascal,3.2.2,1402.59,1402.27,1402.77,9.4979
Scala,scala,3.7.4,1402.94,1402.78,1403.89,9.4979
OCaml,ocaml,5.4.0,1404.85,1403.36,1404.9,9.4971
Crystal,crystal,1.18.2,1403.72,1403.37,1403.99,9.4964
Odin,odin,2025,1404.09,1403.96,1411.7,9.4979
Ada (gnat-gcc),ada,15.2.0,1404.29,1404.2,1405.17,9.4964
Go,go,1.25.7,1405.02,1404.23,1405.05,9.4964
V,v,0.4.12,1404.86,1404.55,1405.07,9.4979
C#,cs,10.0.103,1407.65,1407.42,1408.64,9.4979
Common Lisp (SBCL),sbcl,2.5.11,1408.98,1407.94,1409.09,9.4979
Pony,pony,0.58.0,1411.14,1408.54,1412.67,9.4979
F#,fs,10.0.103,1409.24,1408.98,1409.5,9.4979
WASM (C via Wasmtime),wasm,39.0.1,1410.89,1410.2,1419.45,9.4979
Pony(nightly),pony-nightly,20231205,1416.33,1413.5,1418.1,9.4979
Javascript (bun),bunjs,1.3.10,1436.46,1424.38,1439.28,9.4979
Haxe (C++),haxe,4.3.6,1452.06,1447.87,1456.8,9.4964
Deno (TypeScript),deno,2.7.3,1448.86,1448.79,1450.41,9.4979
Java graalvm,java-graalvm,25.0.1,1460.6,1458.89,1461.79,9.4964
LuaJIT,luajit,2.1.1723681758,1465.25,1462.33,1465.71,9.4964
Dart (AOT),dart-aot,3.11.1,1593.28,1592.96,1602.34,9.4979
Javascript (nodejs),nodejs,25.8.0,1601.07,1599.43,1601.91,9.4979
Swift (relaxed),swift-relaxed,6.2.4,1607.84,1607.26,1614.13,9.4979
Kotlin,kotlin,2.2.21,1646.47,1646.43,1650.45,9.4979
Racket,racket,9.1,1771.4,1769.04,1787.69,9.4964
Java (Vec Ops),java-vecops,25.0.2,1848.25,1832.67,1859.02,9.4979
Python (Numba),cpython-numba,3.13.12,1881.92,1871.23,1890.83,9.4964
Python (NumPy),cpython-numpy,3.13.12,3419.55,3210.99,3629.35,9.4971
Java,java,25.0.2,3493.15,3489.12,3495.71,9.4964
Clojure,clj,1.12.4.1612,4269.43,4252.57,4293.16,9.4979
Python (MyPyC),mypyc,1.19.1,4406.76,4402.25,4410.11,9.4979
Groovy,groovy,5.0.4,4719.56,4638.68,4755.44,9.4964
R,r,4.5.2,4665.59,4657.99,4666.28,9.4971
Haskell (GHC),haskell,9.10.3,5355.41,5351.54,5367.29,9.4979
Dart (JIT),dart,3.11.1,5662.14,5491.81,5704.5,9.4979
Python (PyPy),pypy,3.11.13,6646.83,6638.87,6660.36,9.4964
Erlang,erlang,28.4,13952.34,13836.28,14092.99,9.4964
Lua,lua,5.4.8,15363.97,15315.92,15373.89,9.4964
PHP,php,8.4.18,16421.92,16396.89,16431.66,9.4964
Elixir,elixir,15.2.7.6,18379.77,18290.43,18449.93,9.4964
Janet (compiled),janet-compiled,1.41.2,33781.96,33217.54,34110.26,9.4964
Octave (Vectorised),octave-vectorised,10.3.0,81218.06,42496.64,94726.28,9.4971
Gleam,gleam,1.14.0,43716.97,43598.45,43752.32,9.4964
Ruby,ruby,3.4.8,66345.77,66328.52,66501.01,9.4964
Janet,janet,1.41.2,100337.09,99206.92,101229.51,9.4964
Raku,raku,2026.01,122132.43,120299.72,125851.56,9.4964
Perl,perl,5,135186.18,135070.09,140994.21,9.4964
Python (CPython),cpython,3.14.3,146292.56,146169.96,146485.02,9.4964
Octave,octave,10.3.0,2104918.83,2086262.25,2169248.76,9.4964
