name,target,version,median,min,max,accuracy
C++ (avx2),cpp-avx2,15.2.0,350.59,350.56,351.18,9.4973
Zig,zig,0.15.2,351.25,351.16,351.4,9.4985
D (LDC),d-ldc,1.41.0,351.73,351.72,352.14,9.4985
Fortran 90,fortran,14.2.0,351.79,351.73,351.95,9.3895
C++ (clang++),cpp-clang,21.1.2,353.8,353.38,354.75,9.4985
C (clang),c-clang,21.1.2,353.98,353.46,354.17,9.4985
C# (SIMD),cs-simd,10.0.103,355.84,355.77,356.0,9.4946
Rust (nightly),rust-nightly,1.96.0,361.21,360.87,361.21,9.4952
Common Lisp (SBCL SIMD),sbcl-simd,2.5.11,363.41,363.17,363.59,9.4973
C (gcc),c,15.2.0,399.88,399.67,400.94,9.4943
C++ (g++),cpp,15.2.0,400.02,399.93,400.16,9.4943
D (GDC),d,15.2.0,403.57,402.98,403.62,9.4943
Nim,nim,2.2.0,576.78,576.68,577.04,9.5
Julia,julia,1.12.5,669.38,668.22,670.68,9.4958
Swift (SIMD),swift-simd,6.2.4,837.53,837.51,840.05,8.6928
Rust,rust,1.92.0,935.75,935.08,936.12,9.4979
Pascal (FPC),pascal,3.2.2,1401.68,1401.62,1402.49,9.4979
Objective-C,objc,21.1.2,1402.49,1401.8,1403.64,9.4964
Odin,odin,2025,1403.18,1403.13,1404.12,9.4979
Crystal,crystal,1.18.2,1403.49,1403.46,1403.62,9.4964
OCaml,ocaml,5.4.0,1404.44,1403.72,1404.88,9.4971
Scala,scala,3.7.4,1404.56,1403.83,1405.99,9.4979
V,v,0.4.12,1404.11,1404.03,1404.16,9.4979
Ada (gnat-gcc),ada,15.2.0,1404.49,1404.29,1405.2,9.4964
Go,go,1.25.7,1404.8,1404.5,1405.02,9.4964
Common Lisp (SBCL),sbcl,2.5.11,1407.59,1406.23,1407.9,9.4979
Pony(nightly),pony-nightly,20231205,1420.98,1406.23,1425.04,9.4979
C#,cs,10.0.103,1407.52,1407.03,1409.75,9.4979
Swift,swift,6.2.4,1409.26,1409.13,1409.55,9.4964
F#,fs,10.0.103,1409.62,1409.45,1409.96,9.4979
Java graalvm,java-graalvm,25.0.1,1409.93,1409.77,1412.37,9.4964
Swift (relaxed),swift-relaxed,6.2.4,1410.6,1410.19,1411.89,9.4979
Pony,pony,0.58.0,1412.12,1410.3,1413.94,9.4979
WASM (C via Wasmtime),wasm,39.0.1,1411.11,1410.76,1413.59,9.4979
Haxe (C++),haxe,4.3.6,1460.62,1444.25,1468.56,9.4964
LuaJIT,luajit,2.1.1723681758,1460.52,1451.73,1462.46,9.4964
Javascript (bun),bunjs,1.3.10,1457.67,1456.14,1467.08,9.4979
Dart (AOT),dart-aot,3.11.1,1469.63,1468.46,1475.74,9.4979
Deno (TypeScript),deno,2.7.4,1566.24,1544.47,1574.03,9.4979
Javascript (nodejs),nodejs,25.8.0,1599.43,1595.43,1602.2,9.4979
Racket,racket,9.1,1751.72,1745.4,1772.31,9.4964
Java (Vec Ops),java-vecops,25.0.2,1833.09,1818.07,1870.42,9.4979
Python (Numba),cpython-numba,3.13.12,1886.42,1870.59,1903.24,9.4964
Kotlin,kotlin,2.2.21,1953.8,1953.46,1961.27,9.4979
Haskell (GHC),haskell,9.10.3,2514.5,2513.25,2514.72,9.4979
Java,java,25.0.2,3488.11,3484.96,3488.89,9.4964
Clojure,clj,1.12.4.1612,4269.42,4253.87,4273.61,9.4979
Python (MyPyC),mypyc,1.19.1,4395.47,4392.8,4402.17,9.4979
Groovy,groovy,5.0.4,4623.96,4607.14,4631.02,9.4964
R,r,4.5.2,4645.46,4642.41,4662.61,9.4971
Python (NumPy),cpython-numpy,3.13.12,4940.59,4909.07,5133.48,9.4971
Dart (JIT),dart,3.11.1,5591.09,5530.95,5760.84,9.4979
Python (PyPy),pypy,3.11.13,6633.99,6631.47,6634.36,9.4964
Octave (Vectorised),octave-vectorised,10.3.0,13994.68,12674.11,64736.11,9.4971
PHP,php,8.4.18,13555.25,13510.71,13616.14,9.4964
Erlang,erlang,28.4,14018.07,13888.11,14123.01,9.4964
Lua,lua,5.4.8,15345.48,15335.27,15350.38,9.4964
Elixir,elixir,15.2.7.6,18268.37,18185.89,18337.62,9.4964
Janet (compiled),janet-compiled,1.41.2,33226.41,33159.5,33439.75,9.4964
Gleam,gleam,1.14.0,43823.21,43807.27,43951.66,9.4964
Ruby,ruby,3.4.8,66414.84,66056.3,70621.33,9.4964
Janet,janet,1.41.2,101906.0,100765.95,119911.64,9.4964
Raku,raku,2026.01,105732.61,105066.32,106057.15,9.4964
Python (CPython),cpython,3.14.3,153455.74,147996.17,158847.97,9.4964
Perl,perl,5,148804.09,148267.43,149348.1,9.4964
Octave,octave,10.3.0,1538377.52,1506330.15,1556854.26,9.4979
